"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
1,"а","conj",8198,100,97,32332,""
2,"а","intj",19.8,99,90,757,""
3,"а","part",6.1,59,79,128,""
4,"а","s",2.7,59,85,160,""
5,"аа","intj",1.5,47,80,68,""
6,"а-а","intj",17.8,79,74,627,""
7,"ааа","intj",1.1,37,78,61,""
8,"а-а-а","intj",6.7,76,79,325,""
9,"а-а-а-а","intj",0.8,35,82,54,""
10,"абажур","s",4.9,79,90,269,""
11,"аббат","s",1.6,44,79,63,""
12,"аббатство","s",0.9,33,77,40,""
13,"аббревиатура","s",3.5,83,91,239,""
14,"абвер","s",2.7,22,38,25,""
15,"аберрация","s",0.7,36,79,50,""
16,"абзац","s",10.2,99,87,478,""
17,"абитуриент","s",4,78,88,193,""
18,"абонемент","s",1.8,59,87,118,""
19,"абонементный","a",0.4,24,76,30,""
20,"абонент","s",10.6,87,83,321,""
21,"абонентский","a",2.5,53,81,127,""
22,"абордаж","s",0.5,38,85,44,""
23,"абориген","s",5.8,86,82,255,""
24,"аборт","s",8.3,93,87,300,""
25,"абразивный","a",0.9,28,71,51,""
26,"абракадабра","s",1,50,83,73,""
27,"абрек","s",1.3,37,65,47,""
28,"абрикос","s",3.3,72,80,139,""
29,"абрикосовый","a",1.2,51,85,73,""
30,"абрис","s",1.1,49,83,72,""
31,"абсент","s",1.4,26,62,34,""
32,"абсолют","s",2.9,78,89,160,""
33,"абсолютизация","s",0.6,21,71,36,""
34,"абсолютизировать","v",0.5,30,78,41,""
35,"абсолютизм","s",1.2,35,77,51,""
36,"абсолютно","adv",88.2,100,96,3617,""
37,"абсолютность","s",0.4,28,82,35,""
38,"абсолютный","a",42.3,100,93,2070,""
39,"абсорбент","s",0.4,6,34,7,""
40,"абсорбция","s",0.9,21,57,28,""
41,"абстрагирование","s",0.5,15,63,22,""
42,"абстрагировать","v",0.4,18,72,25,""
43,"абстрагироваться","v",1,51,85,76,""
44,"абстрактно","adv",0.7,41,84,54,""
45,"абстрактный","a",15.9,100,87,743,""
46,"абстракционизм","s",0.6,39,85,43,""
47,"абстракционист","s",0.6,32,80,42,""
48,"абстракция","s",5.6,90,82,274,""
49,"абсурд","s",9.1,98,93,527,""
50,"абсурдно","adv",1.3,65,90,102,""
51,"абсурдность","s",1.5,67,90,121,""
52,"абсурдный","a",4.5,91,93,325,""
53,"абсцесс","s",0.4,19,74,21,""
54,"абсцисса","s",0.9,15,65,53,""
55,"абхаз","s",0.7,20,52,28,""
56,"абхазец","s",0.6,29,79,32,""
57,"абхазский","a",2.1,53,83,92,""
58,"абы","part",1.2,59,89,93,""
59,"авангард","s",9.8,90,88,447,""
60,"авангардизм","s",0.5,29,80,36,""
61,"авангардист","s",1.6,55,84,97,""
62,"авангардистский","a",0.6,33,83,44,""
63,"авангардный","a",3.4,69,88,220,""
64,"аванс","s",7.1,96,93,375,""
65,"авансовый","a",1.4,41,73,61,""
66,"авансцена","s",2.5,67,88,176,""
67,"авантюра","s",5.5,89,91,323,""
68,"авантюризм","s",1.2,62,89,92,""
69,"авантюрист","s",4.1,86,92,256,""
70,"авантюристка","s",0.6,32,83,43,""
71,"авантюрный","a",2.3,73,90,157,""
72,"аварийно-спасательный","a",1.2,19,51,36,""
73,"аварийность","s",1.3,40,79,69,""
74,"аварийный","a",12.5,93,85,555,""
75,"авария","s",29.6,99,91,1183,""
76,"авва","s",1.3,19,39,39,"*"
77,"авгиев","a",0.5,34,84,40,""
78,"август","s",91,100,93,3185,"*"
79,"августейший","a",1.1,48,84,62,""
80,"августовский","a",5.6,90,92,336,""
81,"авеню","s",2.3,57,78,102,""
82,"авиа","s",0.8,33,77,50,""
83,"авиабаза","s",2.3,51,82,92,""
84,"авиабилет","s",1.7,59,87,114,""
85,"авиабомба","s",0.7,40,84,47,""
86,"авиадвигатель","s",0.7,27,77,32,""
87,"авиадиспетчер","s",0.7,22,70,30,""
88,"авиазавод","s",0.6,29,80,40,""
89,"авиакатастрофа","s",1.1,48,86,79,""
90,"авиакомпания","s",10.9,70,84,336,""
91,"авиаконструктор","s",0.9,38,80,57,""
92,"авиакосмический","a",1.1,40,81,63,""
93,"авиакрыло","s",0.7,9,47,9,""
94,"авиалайнер","s",1.2,44,85,76,""
95,"авиалиния","s",2.3,58,83,128,""
96,"авианосец","s",3,58,74,121,""
97,"авианосный","a",0.7,22,58,23,""
98,"авиаотряд","s",0.4,20,73,27,""
99,"авиаперевозка","s",1.1,37,79,62,""
100,"авиаперевозчик","s",0.8,31,81,49,""
101,"авиапредприятие","s",0.7,19,65,36,""
102,"авиапром","s",0.8,25,73,38,""
103,"авиапромышленность","s",0.5,28,81,37,""
104,"авиарейс","s",0.6,35,84,46,""
105,"авиасалон","s",1.5,29,65,43,""
106,"авиастроение","s",0.8,35,80,51,""
107,"авиастроитель","s",0.5,28,80,34,""
108,"авиастроительный","a",1,28,76,52,""
109,"авиатехник","s",1.1,39,81,63,""
110,"авиатор","s",1.8,59,86,117,""
111,"авиационно-космический","a",1.1,35,79,62,""
112,"авиационный","a",28.6,97,89,889,""
113,"авиация","s",38.8,97,89,934,""
114,"авиетка","s",0.4,4,19,4,""
115,"авионика","s",0.9,22,70,33,""
116,"авитаминоз","s",1,46,82,63,""
117,"авокадо","s",0.8,43,84,51,""
118,"авось","part",6.5,93,93,393,""
119,"авоська","s",4.9,79,87,228,""
120,"аврал","s",1.3,56,85,82,""
121,"авральный","a",0.9,40,82,56,""
122,"австралиец","s",2.2,53,80,96,""
123,"австралийский","a",5.6,78,87,260,""
124,"австриец","s",2.6,71,88,160,""
125,"австрийский","a",8.3,93,91,440,""
126,"австро-венгерский","a",0.5,32,82,35,""
127,"авто","s",6.3,84,89,376,""
128,"автобаза","s",1.4,55,86,78,""
129,"автобан","s",1.1,39,76,63,""
130,"автобиографический","a",3,66,83,175,""
131,"автобиография","s",4,78,90,212,""
132,"автобус","s",64.8,100,94,1707,""
133,"автобусный","a",7.3,94,92,409,""
134,"автовладелец","s",2.6,51,84,168,""
135,"автовокзал","s",1,42,82,64,""
136,"автоген","s",0.5,27,79,33,""
137,"автогигант","s",0.5,25,78,36,""
138,"автогонки","s",1.7,45,83,106,""
139,"автогонщик","s",0.7,42,84,55,""
140,"автогражданский","a",0.5,20,76,29,""
141,"автограф","s",10.3,94,91,483,""
142,"автодорога","s",2.7,58,86,192,""
143,"автодорожный","a",0.6,31,82,47,""
144,"автодром","s",3.7,41,76,110,""
145,"автозавод","s",4.3,52,85,221,""
146,"автозаводец","s",0.8,30,78,42,""
147,"автозаводский","a",0.9,33,78,54,""
148,"автозаправка","s",0.4,24,78,31,""
149,"автозаправочный","a",0.7,36,83,50,""
150,"автозапчасти","s",0.4,22,77,35,""
151,"автоинспектор","s",0.9,25,56,31,""
152,"автоинспекция","s",0.5,33,83,42,""
153,"автокатастрофа","s",1.9,65,88,129,""
154,"автоклав","s",0.8,22,61,28,""
155,"автоколонна","s",1.2,40,80,58,""
156,"автокомбинат","s",0.4,11,49,15,""
